contributor,bothunter,app,bodegha,rabbit,type
unexge,Human,False,Unknown,Human,Human
clarfonthey,Human,False,Human,Human,Human
saethlin,Human,False,Human,Human,Human
japaric,Human,False,Unknown,Human,Human
jdm,Human,False,Unknown,Human,Human
ms178,Human,False,Unknown,Bot,Human
rustbot,Bot,False,Human,Bot,Bot
rust-log-analyzer,Bot,False,Human,Bot,Bot
m-ou-se,Human,False,Human,Human,Human
Aaron1011,Human,False,Unknown,Human,Human
smoelius,Human,False,Unknown,Human,Human
jackh726,Human,False,Human,Human,Human
kennytm,Human,False,Unknown,Human,Human
dependabot[bot],Bot,True,Unknown,Bot,Bot
pnkfelix,Human,False,Human,Human,Human
jsha,Human,False,Unknown,Human,Human
froystig,Human,False,Unknown,Human,Human
gilescope,Human,False,Unknown,Human,Human
aochagavia,Human,False,Unknown,Human,Human
Xiretza,Human,False,Unknown,Human,Human
leoyvens,Human,False,Unknown,Human,Human
bors,Bot,False,Bot,Bot,Bot
alexcrichton,Human,False,Human,Human,Human
aliemjay,Human,False,Human,Human,Human
matklad,Human,False,Unknown,Human,Human
rylev,Human,False,Human,Human,Human
taiki-e,Human,False,Human,Human,Human
sooneeatwork,Human,False,Unknown,Human,Human
Nadrieril,Human,False,Human,Human,Human
lnicola,Human,False,Human,Human,Human
HTGAzureX1212,Human,False,Human,Human,Human
bluss,Human,False,Unknown,Human,Human
msullivan,Human,False,Unknown,Human,Human
bjorn3,Human,False,Human,Human,Human
llogiq,Human,False,Unknown,Human,Human
ojeda,Human,False,Human,Human,Human
rust-timer,Bot,False,Bot,Bot,Bot
tshepang,Human,False,Human,Human,Human
willcrichton,Human,False,Unknown,Human,Human
Young-Flash,Human,False,Human,Human,Human
